"Name","Image.ID","Image.name","Annotation.status","Points","tile","site","zone","meta","com_treat","meta_treat","time_point","period","Date","BARE","CYANOB","AMPH","BEM","BTA","CCA","CHAET","Cldph","DICO","ECTO","GEM","GLPS","LOBO","Padina","POLY","RHIZO","RODO","RPu","RSVG","SYM","TURB","Turf"
"p2142349.jpg","4027565","P2142349.jpg","Confirmed",100,188,1,"C","6","C","complex","T5",NA,"2/14/24",2.24719101123596,0,2.24719101123596,20.2247191011236,5.61797752808989,40.4494382022472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2134831460674
"p2142350.jpg","4027566","P2142350.jpg","Confirmed",100,272,1,"C","6","C","complex","T5",NA,"2/14/24",1.12359550561798,0,0,10.1123595505618,1.12359550561798,3.37078651685393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.2696629213483
"p2142357.jpg","4027567","P2142357.jpg","Confirmed",100,122,1,"C","7","C","mix","T5",NA,"2/14/24",0,0,0,20,6.31578947368421,44.2105263157895,0,0,0,0,0,0,0,0,3.1578947368421,0,0,0,0,0,0,26.3157894736842
"p2142359.jpg","4027568","P2142359.jpg","Confirmed",100,464,1,"C","7","S","mix","T5",NA,"2/14/24",4.59770114942529,0,0,22.9885057471264,2.29885057471264,68.9655172413793,0,0,0,0,1.14942528735632,0,0,0,0,0,0,0,0,0,0,0
"p2142363.jpg","4027569","P2142363.jpg","Confirmed",100,252,1,"C","12","C","complex","T5",NA,"2/14/24",0,0,0,4.08163265306122,12.2448979591837,18.3673469387755,0,0,0,0,0,2.04081632653061,0,30.6122448979592,0,0,0,0,0,0,0,32.6530612244898
"p2142367.jpg","4027570","P2142367.jpg","Confirmed",100,138,1,"C","12","C","complex","T5",NA,"2/14/24",1.02040816326531,0,3.06122448979592,2.04081632653061,18.3673469387755,8.16326530612245,0,5.10204081632653,2.04081632653061,0,0,0,0,31.6326530612245,0,0,0,0,0,0,0,28.5714285714286
"p2142370.jpg","4027571","P2142370.jpg","Confirmed",100,383,1,"C","10","S","mix","T5",NA,"2/14/24",3.06122448979592,0,0,16.3265306122449,0,44.8979591836735,0,0,0,0,2.04081632653061,0,0,13.265306122449,0,0,0,0,5.10204081632653,0,0,15.3061224489796
"p2142371.jpg","4027572","P2142371.jpg","Confirmed",100,45,1,"C","10","C","mix","T5",NA,"2/14/24",1.06382978723404,0,0,11.7021276595745,7.4468085106383,27.6595744680851,0,3.19148936170213,0,0,0,0,0,1.06382978723404,0,0,0,0,0,0,0,47.8723404255319
"p2142374.jpg","4027573","P2142374.jpg","Confirmed",100,551,1,"C","4","S","mix","T5",NA,"2/14/24",0,0,1.0989010989011,23.0769230769231,6.59340659340659,19.7802197802198,0,0,0,0,1.0989010989011,0,0,0,0,0,0,0,0,1.0989010989011,0,47.2527472527472
"p2142376.jpg","4027574","P2142376.jpg","Confirmed",100,110,1,"C","4","C","mix","T5",NA,"2/14/24",0,0,0,0,1.0752688172043,2.1505376344086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.7741935483871
"p2142381.jpg","4027575","P2142381.jpg","Confirmed",100,395,1,"C","2","S","simple","T5",NA,"2/14/24",1.11111111111111,0,0,2.22222222222222,7.77777777777778,30,0,0,0,0,1.11111111111111,0,0,0,0,0,0,0,0,0,0,57.7777777777778
"p2142382.jpg","4027576","P2142382.jpg","Confirmed",100,544,1,"C","2","S","simple","T5",NA,"2/14/24",0,0,0,1.08695652173913,8.69565217391304,11.9565217391304,0,0,0,0,0,0,0,1.08695652173913,0,0,0,0,0,0,0,77.1739130434783
"p2142388.jpg","4027577","P2142388.jpg","Confirmed",100,428,1,"C","13","S","simple","T5",NA,"2/14/24",4.3956043956044,0,0,5.49450549450549,0,85.7142857142857,0,0,0,0,4.3956043956044,0,0,0,0,0,0,0,0,0,0,0
"p2142389.jpg","4027578","P2142389.jpg","Confirmed",100,498,1,"C","13","S","simple","T5",NA,"2/14/24",6.25,0,0,7.29166666666667,1.04166666666667,81.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04166666666667,0,3.125
"p2142394.jpg","4027579","P2142394.jpg","Confirmed",100,128,1,"C","3","C","complex","T5",NA,"2/14/24",0,0,0,6.38297872340426,5.31914893617021,12.7659574468085,0,0,2.12765957446809,0,0,0,0,14.8936170212766,0,0,0,0,0,0,0,58.5106382978723
"p2142395.jpg","4027580","P2142395.jpg","Confirmed",100,95,1,"C","3","C","complex","T5",NA,"2/14/24",0,0,0,1,6,10,0,0,1,0,0,0,0,63,0,0,0,0,0,0,0,19
"p2142400.jpg","4027581","P2142400.jpg","Confirmed",100,264,1,"C","1","C","mix","T5",NA,"2/14/24",1.06382978723404,0,0,5.31914893617021,9.57446808510638,6.38297872340426,0,0,0,0,0,0,0,0,4.25531914893617,0,0,0,0,0,0,73.4042553191489
"p2142402.jpg","4027582","P2142402.jpg","Confirmed",100,339,1,"C","1","S","mix","T5",NA,"2/14/24",1.08695652173913,0,2.17391304347826,3.26086956521739,1.08695652173913,4.34782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0434782608696
